,year,month,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,s.s.temp.
0,1995.0,6.0,22.0,2.0,165.0,-3.3,-1.9,79.4,28.95,29.643848951929566
1,1995.0,1.0,13.0,4.99,156.0,-3.5,-2.2,82.0,27.86,28.95758218589301
2,1995.0,7.0,9.0,-4.97,-125.0,-8.2,1.5,84.2,26.02,26.14037593029991
3,1996.0,7.0,17.0,8.01,165.0,-5.4,-1.0,84.1,28.38,29.285682826634712
4,1993.0,8.0,23.0,2.06,165.0,2.0,0.6,75.4,28.47,29.600013018345365
5,1993.0,7.0,14.0,-0.04,-170.0,-6.2,-1.0,75.5,28.98,29.09033976819321
6,1995.0,8.0,13.0,-1.98,-155.0,-6.5,0.4,82.1,27.0,27.288382605997935
7,1993.0,12.0,2.0,2.06,165.0,-0.4140878678583704,-0.3247476409339356,75.4,29.56,30.266451228054567
8,1994.0,5.0,2.0,-4.99,-95.0,-4.2,4.2,81.0,26.69,27.215453866150412
9,1996.0,11.0,28.0,-4.99,-110.0,-5.5,1.5,82.1,22.94,23.63695391206009
10,1996.0,8.0,4.0,2.06,-155.0,-4.0,2.7,81.41686189270081,26.16,27.08282609808451
11,1981.0,10.0,26.0,-0.02,-94.94,-2.4,2.2,95.13202040797762,21.06,20.805311583340753
12,1996.0,4.0,7.0,8.04,-170.0,-7.1,-4.4,77.7,27.48,27.87526351647157
13,1985.0,11.0,22.0,-8.03,-109.94,-4.88416072575103,3.520772736282254,86.8206749711212,23.33,23.70475784828463
14,1988.0,7.0,19.0,8.99,-140.1,0.7,5.8,86.33155211771009,26.8,27.915242986230467
15,1993.0,4.0,7.0,8.04,165.1,-4.6,-6.0,78.7,27.62,28.132559592213138
16,1992.0,6.0,21.0,2.02,-110.06,-8.6,-0.6,75.4,26.69,27.505561494579233
17,1981.0,1.0,29.0,0.0,-109.56,-1.9,3.0,94.75484582011381,23.25,23.319831725746504
18,1993.0,4.0,20.0,-4.97,-140.0,0.6,-4.1,79.3,28.44,29.399131541803925
19,1991.0,8.0,4.0,8.99,-140.2,-1.8,-1.1,84.4,27.12,28.589271531351677
20,1993.0,6.0,11.0,2.09,165.0,2.0,-0.6,83.2,27.84,29.47107991140883
21,1988.0,4.0,18.0,2.07,-110.1,-1.3,1.3,87.61799280383718,25.72,26.88827157731531
22,1995.0,4.0,10.0,8.0,-170.0,-4.6,-1.3,82.7,27.94,28.448662800475386
23,1993.0,7.0,12.0,-2.0,-94.94,-4.5,2.8,93.5,22.17,22.14168249528825
24,1990.0,8.0,2.0,1.99,-110.1,-0.6,5.3,90.69571673560722,22.44,23.242442842291215
